id,index,category
GO:0098703,468,biological_process
GO:0005983,470,biological_process
GO:0071385,471,biological_process
GO:0030026,473,biological_process
GO:0070096,475,biological_process
GO:0042256,476,biological_process
GO:0007188,480,biological_process
GO:0006177,484,biological_process
GO:0140042,485,biological_process
GO:0007605,486,biological_process
GO:0043103,487,biological_process
GO:0006518,489,biological_process
GO:1903818,492,biological_process
GO:0031638,495,biological_process
GO:1990456,496,biological_process
GO:0043386,499,biological_process
GO:0042135,505,biological_process
GO:0009083,509,biological_process
GO:0045022,510,biological_process
GO:0016925,512,biological_process
GO:0045671,517,biological_process
GO:0006048,519,biological_process
GO:0006556,522,biological_process
GO:1904985,527,biological_process
GO:0042110,528,biological_process
GO:0016559,531,biological_process
GO:0006121,532,biological_process
GO:0019062,536,biological_process
GO:0009063,541,biological_process
GO:0046496,543,biological_process
GO:0000027,547,biological_process
GO:0034475,551,biological_process
GO:0043158,552,biological_process
GO:0070475,553,biological_process
GO:0006401,557,biological_process
GO:0030254,558,biological_process
GO:0045881,559,biological_process
GO:0019627,561,biological_process
GO:0032196,562,biological_process
GO:0046685,564,biological_process
GO:0006750,565,biological_process
GO:0070050,567,biological_process
GO:0009723,574,biological_process
GO:0035025,575,biological_process
GO:0046656,576,biological_process
GO:0018401,577,biological_process
GO:0002237,580,biological_process
GO:0030908,581,biological_process
GO:0046295,582,biological_process
GO:0009085,584,biological_process
GO:0006044,586,biological_process
GO:0015671,587,biological_process
GO:0007035,588,biological_process
GO:0009792,591,biological_process
GO:0050778,592,biological_process
GO:0002053,593,biological_process
GO:0006308,596,biological_process
GO:0036065,598,biological_process
GO:0006078,600,biological_process
GO:0042174,601,biological_process
GO:0001501,602,biological_process
GO:0009739,603,biological_process
GO:0010099,606,biological_process
GO:0031333,607,biological_process
GO:0080183,608,biological_process
GO:0051224,609,biological_process
GO:0071549,610,biological_process
GO:0009696,611,biological_process
GO:0032436,613,biological_process
GO:0009432,615,biological_process
GO:0001944,618,biological_process
GO:0002376,623,biological_process
GO:0010165,628,biological_process
GO:0007094,633,biological_process
GO:0009933,635,biological_process
GO:0032955,636,biological_process
GO:0045453,639,biological_process
GO:0032094,640,biological_process
GO:0045010,643,biological_process
GO:0032981,644,biological_process
GO:0007021,645,biological_process
GO:0043165,647,biological_process
GO:1904382,649,biological_process
GO:0006624,651,biological_process
GO:0030683,652,biological_process
GO:1901170,655,biological_process
GO:0030041,656,biological_process
GO:0032757,658,biological_process
GO:0010212,659,biological_process
GO:0015721,660,biological_process
GO:0034219,661,biological_process
GO:0009908,662,biological_process
GO:0019512,663,biological_process
GO:2001006,665,biological_process
GO:0098869,667,biological_process
GO:0030447,669,biological_process
GO:1904380,671,biological_process
GO:0045039,673,biological_process
GO:0006552,674,biological_process
GO:0001974,675,biological_process
GO:0030422,679,biological_process
GO:0030111,682,biological_process
GO:0010167,686,biological_process
GO:0017187,687,biological_process
GO:0016926,691,biological_process
GO:0051205,693,biological_process
GO:0043968,694,biological_process
GO:0007080,698,biological_process
GO:0043009,699,biological_process
GO:0035753,702,biological_process
GO:0009854,706,biological_process
GO:0007017,707,biological_process
GO:0050767,710,biological_process
GO:0000727,711,biological_process
GO:0042545,714,biological_process
GO:0042100,715,biological_process
GO:0070328,718,biological_process
GO:0016575,720,biological_process
GO:0071218,722,biological_process
GO:0098719,723,biological_process
GO:0006557,724,biological_process
GO:0031396,725,biological_process
GO:0010029,726,biological_process
GO:0090156,727,biological_process
GO:0031648,729,biological_process
GO:0022011,734,biological_process
GO:0060237,738,biological_process
GO:0006523,745,biological_process
GO:0009073,749,biological_process
GO:0006829,751,biological_process
GO:0032012,752,biological_process
GO:0009235,754,biological_process
GO:0046777,755,biological_process
GO:0048920,756,biological_process
GO:0031640,757,biological_process
GO:0006636,758,biological_process
GO:0032963,759,biological_process
GO:0032922,763,biological_process
GO:0021549,764,biological_process
